Group	Binge	Binge	Binge	Binge	Binge	Control	Control	Control	Control	Control	Chronic	Chronic	Chronic	Chronic	Chronic	Chronic plus binge	Chronic plus binge	Chronic plus binge	Chronic plus binge	Chronic plus binge
Aminobenzoate degradation	0,0949878566008095	0,0691065925071832	0,0684260591268514	0,0753942525569811	0,0800778292392858	0,0832283682544873	0,0626167583769033	0,0671813112876961	0,0699845436676535	0,0666958622555014	0,0683332808220121	0,0700300982503941	0,068735879656401	0,066712911881251	0,0669804354400567	0,0662554967676374	0,0689461060506452	0,0464618778908569	0,0682489212325493	0,0740786233063185
Amoebiasis	0,00543608693575945	0,00791825257359335	0,00893543897412189	0,0105919919838431	0,0118558426800231	0,0107149830664918	0,00862182427195928	0,00987389089121832	0,00861880907966859	0,00696532751035876	0,00913584062551034	0,00874466199868853	0,00878714849068486	0,00759659825678	0,00743701507036685	0,00742282341049333	0,00760715424530343	0,00343552004632376	0,00992712352964892	0,00981906730047826
Amyotrophic lateral sclerosis	0,0170917199794438	0,020296363608139	0,0164253132517548	0,0190601112442815	0,0141264238628812	0,017621862072223	0,0190225546830427	0,0182899900285466	0,0198261980195198	0,0179597451626899	0,020051097145412	0,0168345559778348	0,0197665295053281	0,018254149018376	0,0211635362629238	0,0150830635347723	0,020614582332116	0,0129894144793314	0,0219245446809083	0,0193379720545147
Antigen processing and presentation	0,0408675662275511	0,0443190481103473	0,0485262323932443	0,0457183611121503	0,0452856642543427	0,048786359409423	0,0481887005014881	0,0475528883988058	0,0460519406933799	0,0458666319907487	0,0507609438957589	0,0492116370046795	0,0472131540751882	0,0480013301845739	0,0514147433524042	0,0515184122901339	0,0473894215005839	0,0321195460744672	0,0493453696245578	0,0512516827958475
Apoptosis	0,0185654240058095	0,00830214369819802	0,0142553839339296	0,00655238837189055	0,0113042867506025	0,0235233435505475	0,0184878012683735	0,0119791201648414	0,0114702890428828	0,0133259561411459	0,0218789105709291	0,0168213479876648	0,0104459415115851	0,0146094908490261	0,0211326545709102	0,0185834381610984	0,0159874868456936	0,0103818771866013	0,0156775888409072	0,0240397656566679
Arachidonic acid metabolism	0,00971964336286843	0,00885298097000103	0,011888487987418	0,00975989028610457	0,0108467367027972	0,0109619974848573	0,0115906794516056	0,0104924860700999	0,00983418632334426	0,0106801071007088	0,0164099895537156	0,0112033384154091	0,012150852397479	0,0153264739677672	0,015155630126611	0,0152159763104385	0,0147294516633173	0,00995526655138321	0,0125332273941089	0,0139598172858511
Arginine and proline metabolism	1,07086811204471	1,06446072245774	1,08724861737786	1,05419269992838	1,09017436562252	1,10906438499476	1,11063617208338	1,07994355049427	1,08240796552725	1,10847778637149	1,13825346829211	1,11345661746746	1,06352500370898	1,08777307965458	1,18536926736072	1,112581392461	1,08581997814162	0,724972544106768	1,12227299895935	1,07480152498194
Ascorbate and aldarate metabolism	0,103224617912159	0,0893941890515769	0,0868529742107028	0,0942388729258404	0,102329800384048	0,100884247142799	0,0880495707606518	0,0931748224089217	0,0919856443860841	0,085954817317479	0,0875398410492791	0,0827412734888104	0,0952275907364848	0,0800514648831407	0,0906976237699479	0,0918893996470953	0,097031703713125	0,0575975897252546	0,0912785014702618	0,0882446874847311
Atrazine degradation	0,0278696470051677	0,0140764506831687	0,010949778104606	0,00839234113692232	0,0138783204030601	0,0117262070639364	0,0112658637193423	0,0100250570223325	0,014829897645318	0,00860168426290582	0,0154775304540255	0,0190961755138165	0,00805326579584281	0,0109664453922337	0,0190958310742402	0,0170331273121052	0,0121170609817179	0,0140219886205085	0,02543500425211	0,0244705218824354
Bacterial chemotaxis	0,592939202072222	0,872115780551515	0,828220016537517	0,909810047771398	0,73829151246675	0,629726730795908	0,754061769935536	0,806649290499954	0,78706593290757	0,798354198791874	0,615185857892943	0,717123461312682	0,836185129619505	0,822418727422867	0,680153874617249	0,679686511318553	0,779699130091516	0,509532207373988	0,694141654584867	0,657560998446912
Bacterial invasion of epithelial cells	0,00226249792565159	0,000371936037679271	0,000357119036774926	0,000533119243000136	0,00125045309549909	0,0014249382591648	0,000865883532257998	0,000841507450390419	0,001564827399942	0,00123389488271754	0,000599322760440949	0,000373374502940246	0,00121182962075765	0,000518523192799603	0,000433663000982298	5,2759269730133E-05	0	0,00101751073165115	0,000989964024268945	0,000334581695581011
Bacterial motility proteins	1,27093454763868	1,85224247718345	1,74852890717316	1,9013945502733	1,55153390374714	1,35228011934096	1,6215527196302	1,71877199119486	1,6777363825906	1,66677652684393	1,35446298559239	1,59894302877733	1,75278948113802	1,75033155444559	1,51732800885924	1,51097881340932	1,61693392551242	1,09679588516662	1,541023161393	1,44559519005446
Bacterial secretion system	0,647022780344866	0,665371706882573	0,65467772789622	0,651378363910224	0,655188511427807	0,643290613487549	0,67088155930017	0,655696326739404	0,651333776375899	0,658005898024566	0,629383273648691	0,634178549564469	0,630980441880762	0,647363063806476	0,629056157242352	0,627421352441469	0,605396268729964	0,416057268951293	0,616972497517638	0,636147157353101
Bacterial toxins	0,154784124542277	0,141802978815747	0,146320493176295	0,142199096316258	0,146569980398634	0,158983503682152	0,156383442381788	0,148827459825558	0,145001502704733	0,149386940894124	0,168762997661125	0,147468906480052	0,147975276670896	0,142890857833871	0,16265265024978	0,153165233033281	0,163753548687232	0,104577521382879	0,157146889212452	0,15309093875354
Base excision repair	0,456878478293709	0,433302774076648	0,437449274764021	0,423434286183769	0,442317968519757	0,453169791032026	0,443562812321142	0,441198562915957	0,438622812205487	0,441414947239913	0,461384150353835	0,448261726493562	0,429268722870579	0,438665951463148	0,451150980670925	0,452977900085489	0,432939537086417	0,293108312356424	0,437526527235096	0,450237579038369
Benzoate degradation	0,17347958969198	0,159713638410772	0,163397307373517	0,183920389172456	0,175038580631159	0,161929499511583	0,150683771845534	0,183385031510687	0,162258539275451	0,164224692142524	0,150045252498228	0,142543276036333	0,163393696221172	0,160833320062554	0,136028722659107	0,136880881510807	0,162499001265272	0,0950099450170569	0,145401673181662	0,136276246391091
beta-Alanine metabolism	0,171419295132991	0,129426036723035	0,148252501363579	0,125604598304319	0,146284597830743	0,172423495385147	0,16228157842513	0,141260956202457	0,139869354699451	0,152497756199221	0,173300266204167	0,154173906503596	0,144144797880769	0,160675105739545	0,171953170206734	0,168321347864603	0,156948579337816	0,102753706455259	0,166233768991217	0,169414000088073
beta-Lactam resistance	0,048049370910163	0,0620202280155792	0,051575088042237	0,0659675997576719	0,0473070291681836	0,0456889451370957	0,0535476755641662	0,0577779015438062	0,0539951068674518	0,0549157480713231	0,0372249610653961	0,0414302762479641	0,0604260245169286	0,0523441725397165	0,0398489633320654	0,0416899691002147	0,0534595778594992	0,0338036724530789	0,0450936155637547	0,0445642986345659
Biosynthesis and biodegradation of secondary metabolites	0,0531006691413621	0,0434930313043813	0,0489947698268863	0,0529184368277563	0,0500400620584014	0,0505779117234162	0,0508050129202389	0,049722516973166	0,0498231952425074	0,050073781407723	0,0416581749165179	0,0415428155614677	0,0533071867287591	0,0507908655729658	0,0482305086344309	0,0505900520631518	0,0529363556676238	0,0365989311773977	0,0431942045891907	0,0482256691245308
Biosynthesis of ansamycins	0,119385571415723	0,141603275730374	0,146515323736308	0,145794336040138	0,130865725572938	0,12454006438636	0,137557821498501	0,146778040372479	0,135097016044791	0,139419677732208	0,129260932756261	0,123314229046063	0,150817877297155	0,130737648561877	0,135387878686388	0,137780832900242	0,158783083187765	0,0914997986614587	0,14357184253566	0,126874190628348
Biosynthesis of siderophore group nonribosomal peptides	0,0136709552794208	0,0164415653799114	0,00742152008007559	0,0204123144630269	0,00714118806154025	0,0144190480035847	0,0131971591082772	0,00780537401517184	0,0257835675720372	0,010318910268243	0,0120751840158829	0,00839616555942472	0,00755967392546966	0,00739079687815051	0,0129121631560081	0,0103124080295591	0,00904393714904593	0,00778098160882986	0,00994008734425244	0,0116048047355726
Biosynthesis of unsaturated fatty acids	0,116608301004275	0,126281104989578	0,123967378385375	0,129923202268976	0,125822209341544	0,118921044593217	0,120894815070528	0,127609481684587	0,126484341233152	0,124216705352032	0,114223013209961	0,119131638515095	0,126599523701063	0,120145809819423	0,114466753933084	0,11592023240783	0,114759815524213	0,0810705261969131	0,113263245392074	0,110556068192857
Biosynthesis of vancomycin group antibiotics	0,0481478625925915	0,0405204387906691	0,0429387250536464	0,0390950939771205	0,0430847131326135	0,0463431146772587	0,0431272830324405	0,0435400968995567	0,0444253440580737	0,0444874151885229	0,0428963450878192	0,0472946238834595	0,0426667046219283	0,0461889301137801	0,0409256202969831	0,0486754993327525	0,0418719589090669	0,0307739346238632	0,0406878985266058	0,0486795884039459
Biotin metabolism	0,14349750547242	0,128263869439586	0,138861578708821	0,118832305583608	0,128821097647807	0,155514067553464	0,160461378706724	0,134769816258252	0,137636826442918	0,139765032878503	0,17814324581882	0,15193967545408	0,129409241350067	0,144309972673621	0,18906783323874	0,158523342714912	0,145834714510679	0,102634368120884	0,155993533983035	0,157901234990466
Bisphenol degradation	0,0367111828114753	0,0384169810964338	0,0423775719017092	0,0442347659560232	0,0453139349070156	0,0414518105251147	0,0373186112009876	0,0413990926589365	0,0410624448880196	0,0411889270045181	0,0371652707770077	0,0384455870994376	0,0412054545550666	0,0376408795886414	0,038238326730558	0,0380008786244692	0,0331075076280953	0,0241514806386847	0,0400986342264457	0,0346722198575488
Bladder cancer	0,000859005791710171	6,53544751922148E-05	0	0,000179778182426659	0	0	0,00079648781234418	0	0	0	3,79113993818635E-05	0,00038040821003422	0,000433401725051444	1,540501547636E-05	0	0	0	0	0	0
Butanoate metabolism	0,588405257646394	0,588801181671822	0,585371582104601	0,612036095177557	0,580045726018751	0,571195966583342	0,566566632090385	0,577067701834659	0,589965076214628	0,592274015148097	0,541348164530892	0,547125251764308	0,582571817976605	0,582390750181697	0,542923990956435	0,534624899195552	0,582372574019213	0,366817188260131	0,530526529002417	0,508742169078852
Butirosin and neomycin biosynthesis	0,0734825390503631	0,0685841286416831	0,0739176279746617	0,0676078934646978	0,0773263290155038	0,0755597567916691	0,0708329302806997	0,0732704461182945	0,0724371743360266	0,0701668204099116	0,0763100005770599	0,0777531086395775	0,0690482883645248	0,0674249846513091	0,0747522139154635	0,0765567441824459	0,0689931326869331	0,0471754106122848	0,0773680455538187	0,0795600738084387
C5-Branched dibasic acid metabolism	0,214482875966488	0,236909148999124	0,23956068191831	0,252465376413053	0,238104551248391	0,223113784713303	0,240793113854961	0,240170651885789	0,239260177766066	0,237856338441231	0,201348248742596	0,232530398653013	0,234545228828975	0,234131587215909	0,21353272987748	0,213902313107415	0,22392369384753	0,154931231704573	0,219233708664224	0,233144481319771
Caprolactam degradation	0,00208226445669978	0,000374592723662695	0,000547756573094964	0,0010284607733417	0,00274662505968466	0,00108054852418082	0,000303215532956772	0,000971221681732984	0,00117172644236107	0,00186203690271097	0,0012793080727582	0,000570408767257613	0,00107941947073369	0,00106080380790416	0,000699773277416055	0,000472804224889269	0	0	0,000579836071357525	0,000121979320531079
Carbohydrate digestion and absorption	0,010516009132906	0,00314711021596332	0,00407775509802615	0,0027620650257285	0,00600821582260314	0,00518144142659719	0,00375177644134069	0,0029178289810286	0,00376713118353098	0,00121128215326438	0,00531969529624234	0,00812608025358473	0,00454937011521484	0,00372394585837988	0,00683174367958739	0,00661418614174494	0,00832069189726116	0,00631470348085884	0,00923886282706194	0,0109463614353549
Carbohydrate metabolism	0,117742360737304	0,131257396638848	0,123537052846895	0,148899923160396	0,129167737712399	0,120504309325622	0,123924719728099	0,126715957737392	0,141298639150499	0,124966758089996	0,105279956083435	0,118927050365988	0,147906651327061	0,128680236533999	0,112416004356945	0,11072141513673	0,127888152638812	0,0852145046944364	0,140799094727115	0,130046571827094
Carbon fixation in photosynthetic organisms	0,679538802583992	0,68398237666737	0,698448570368741	0,680717292734749	0,676233588008461	0,691479742273585	0,712064605579692	0,69529563988864	0,684053718303507	0,702767859854868	0,690980424763513	0,674771837284672	0,696258073964711	0,692654362924718	0,707696972316257	0,693445520103367	0,735167870123243	0,46380763954411	0,683727421614133	0,688102499261328
Carbon fixation pathways in prokaryotes	0,899359790067727	0,936895109795178	0,950342754581483	0,9074199292285	0,912736329905407	0,972075212591284	0,972946029827038	0,893423990933722	0,924042411490676	0,923436575639808	0,984976873965715	0,956829191091252	0,913446768733734	0,924578146649162	1,00295678079497	0,946909168697653	0,902687560637985	0,601689509249484	0,92439620846098	0,922275190446819
Carotenoid biosynthesis	0,001703670919118	0,000403816269480352	0,000743668353053679	0,000422114313468	0,00218057611525744	0,00304232447478503	0,00200372326417826	0,0032112447523966	0,00201902729207589	0,000744175983416218	0,00597386859195917	0,00415463663396469	0,00186473032503284	0,00176796622927912	0,000640111021168237	0,00169438423941004	0,00193570703138022	0,000661514809872419	0,00507710121017931	0,00379223217156415
Cell cycle - Caulobacter	0,550181249476336	0,546715024996822	0,549888079547881	0,522832469020602	0,538293813862149	0,55762733898197	0,56068450082569	0,542809715522154	0,548382335712056	0,549243428248483	0,559669856564076	0,564658858715029	0,544327465311169	0,557783644991881	0,555051505045427	0,567227084084751	0,549807994429349	0,37493482511678	0,555754112220871	0,579193917616423
Cell division	0,062015743874212	0,0565659454241717	0,0611813316935443	0,0527122182955268	0,0552434518776381	0,0696325272002439	0,0690012271276412	0,0585999409591397	0,057626512292777	0,0612292349101994	0,0765979658872583	0,0645369991742157	0,0581670252521977	0,0609120088816076	0,076547700898122	0,0706517643780348	0,0677830542102892	0,0424407445532071	0,0659893047765834	0,068080234704446
Cell motility and secretion	0,142127054229032	0,129989015049782	0,146069544663967	0,139900628204875	0,142369735078787	0,155034936337728	0,144548846352486	0,136271035028753	0,139920033503211	0,135605344642274	0,160891945849035	0,145650636655206	0,138062774662369	0,144264431596619	0,163614087230887	0,161821811674387	0,145783793208592	0,0933605415242485	0,158740637009237	0,164738355850616
Cellular antigens	0,0341575694004862	0,0164528562953409	0,0246709075291557	0,0142938434091488	0,0225070164143304	0,0364686086359685	0,0321384707840874	0,0195339604074773	0,0233908374216151	0,0262470549962066	0,0340291107600569	0,0272967316434799	0,0202874898163972	0,0291094616661499	0,038732042895282	0,0375432934196944	0,0277959391598561	0,0179226412488101	0,0268775232589019	0,0398295407527588
Chagas disease	0,000428785862639968	0	0	0	0	0	0	0	0	0	3,79113993818635E-05	0	0	0	0	0	0	0	0	0
Chaperones and folding catalysts	1,13964685584125	1,04742376718208	1,0826456530983	1,00116176001957	1,0569521889451	1,1395407657538	1,11374138047485	1,07017711530831	1,06177293786215	1,06600581054269	1,15637592382216	1,1349530511812	1,03968118926623	1,09290968950248	1,16288426831486	1,16394457074597	1,09165133917066	0,754386441475138	1,10670308049137	1,18049151417892
Chloroalkane and chloroalkene degradation	0,14083455883679	0,118947217064898	0,117844034263305	0,125473955442697	0,135275179021656	0,129543641476117	0,117005028672692	0,12019567024238	0,127137843899832	0,118600284643545	0,116105677170754	0,113832452637063	0,119165172724929	0,110290499309095	0,105726795322301	0,106210497574803	0,119837297139138	0,0766630841504138	0,103570931900753	0,104517249533709
Chlorocyclohexane and chlorobenzene degradation	0,0164368105220845	0,0124935174736656	0,0106062929876371	0,0115853474229136	0,0105920093787135	0,00856787652402907	0,00688980713277693	0,010709773758132	0,0104291087615496	0,00878134048207819	0,00690229456405545	0,00791782824419144	0,00966455210550508	0,00727123951585194	0,00716704458243139	0,00897820726619128	0,0121320583515106	0,00757620425322759	0,00798255133912064	0,00606546574235286
Chromosome	1,76783747582428	1,75663520288988	1,7418911396978	1,70134852377886	1,7415586063361	1,75767781030767	1,75538880490666	1,73656193831176	1,74384008768256	1,74782364727575	1,76847885898239	1,78016160690652	1,72820214377355	1,74071314418888	1,75767034738697	1,80855225530203	1,7311535450774	1,18092768405537	1,76765897249012	1,78908516635211
Citrate cycle	0,555672691376303	0,566916226113035	0,587561632661907	0,561954226045724	0,567271418320071	0,600808459769896	0,587186913816776	0,525233458975948	0,547225538696855	0,557946262955143	0,555331824524168	0,563380623803334	0,550208044551521	0,554215554563515	0,601725566629684	0,562701962104051	0,535871252579453	0,358231310498903	0,516978069930848	0,5160834405017
Cyanoamino acid metabolism	0,272626238940468	0,262259831123866	0,269882255854637	0,263701087663612	0,252109864377095	0,296623217165411	0,289460832379854	0,267491717312495	0,274241653694403	0,266066101700652	0,284622654048656	0,278656138022846	0,278920438997664	0,272744667703129	0,276226327149742	0,28459669074177	0,302707667576788	0,186458310237877	0,277590532237126	0,317082180837413
Cysteine and methionine metabolism	0,9651864794363	1,00000205521228	1,00049864914542	1,00931664414054	1,01827578995655	1,00636018585767	1,01040343246785	1,01069840948342	0,99963932291451	1,02303510904946	0,990083620125003	0,994960703944986	0,998261668571658	0,995728882434102	0,984362532898768	0,977339092115849	0,980321154723069	0,663023143339507	0,996886135573498	0,963267669636844
Cytoskeleton proteins	0,377076410023905	0,440750554129437	0,425197154048934	0,444471471547765	0,426364788875071	0,405249447426653	0,423557057827987	0,421875066573922	0,433535208735934	0,435671377836576	0,401001777270271	0,407550742915749	0,432386948203697	0,421606678027994	0,393086803121374	0,407849447040747	0,399229170070261	0,270624592910693	0,418515069548459	0,40501843599126
D-Alanine metabolism	0,126821722120402	0,116988070553282	0,110515209015179	0,107705129337102	0,124244855296956	0,111742031058778	0,108669852487044	0,112774708166917	0,113757989718565	0,114294124688004	0,11909503134329	0,119776387459902	0,10843678482052	0,112999110225562	0,115621543533333	0,111329161339967	0,110452896444063	0,0769174618333265	0,119615090277504	0,112068481594909
D-Arginine and D-ornithine metabolism	0,00264728663021198	0,00184684839509642	0,00180555819604703	0,00270205798375636	0,00414653902840571	0,00103271564740409	0,00117013062321349	0,00325338552704957	0,00170215781766559	0,00224958331398875	0,00151806922631207	0,00330539000573729	0,00164175923019841	0,00227664465437586	0,000511453592257095	0,00187701248078358	0,00224571080310247	0,000774423964167912	0,00599555211898082	0,00295694565680378
D-Glutamine and D-glutamate metabolism	0,17258708410846	0,157861609478008	0,162834466463616	0,148300115929455	0,162778364285631	0,169053807027943	0,167073853034512	0,156496317787508	0,160159989932586	0,169117697141811	0,17054644668311	0,166577113930119	0,155053041373812	0,167881764542079	0,173473653767474	0,17341261739356	0,161649324698375	0,108470017985212	0,164690697924246	0,170481223427622
Dioxin degradation	0,0436353144379027	0,0320932183163715	0,0276021211737877	0,0336626143571777	0,0361404658033297	0,0252785763716709	0,0253232796798845	0,0344330460230401	0,03332946879864	0,0317866626900968	0,0257926575879674	0,0277306503068399	0,0258819463062189	0,0306238468984861	0,0206867757107453	0,019498608570648	0,0200323007305143	0,0187668297869027	0,024912491811872	0,0215217311519572
DNA repair and recombination proteins	3,19127913732731	3,12514619742967	3,10856190659663	3,04461271779947	3,11606740606426	3,17755743747421	3,13191605325049	3,12753540635621	3,13222798313767	3,13360535923068	3,20501679773444	3,15306284313324	3,08629044766839	3,12815118016187	3,12523798173368	3,19745626456923	3,09800836382387	2,08635041648165	3,10440470741527	3,18982286328468
DNA replication	0,746030784050879	0,724162228314964	0,73011639499384	0,700266003827531	0,735001942501186	0,753846905560088	0,729511971198691	0,737038246353167	0,726823236548475	0,728141418328737	0,77200031174463	0,745168027550275	0,720788284815271	0,735719733587973	0,734288601175251	0,759493023596106	0,728564725843284	0,488303320418807	0,745119569167732	0,764945834022195
DNA replication proteins	1,44508292855107	1,4364210422469	1,44254276585381	1,42212767961145	1,43596482688863	1,45979317982361	1,43893869541966	1,46251723243753	1,43462305170356	1,44525325429451	1,44930117433544	1,4153450900217	1,435874497981	1,45446265871426	1,40355912252954	1,45501746184711	1,4296856019408	0,962949043266592	1,44434954455505	1,49532752967518
Drug metabolism - cytochrome P450	0,0347244845416863	0,0148745722863088	0,0136837086659332	0,0108892535888623	0,0240609749703432	0,0171722469861387	0,0145157715646396	0,0126818224873397	0,0153289061310768	0,0158039024715048	0,0123655692026376	0,0171263982811809	0,0103734355679502	0,0140509627566613	0,00963816630476117	0,012771801680056	0,012446421823754	0,0120130823804233	0,00663785020615532	0,0129677494410296
Drug metabolism - other enzymes	0,341557968943784	0,327845331729199	0,334752340806637	0,336614745473049	0,334308946403302	0,354496741602105	0,340256561278104	0,33077660929706	0,340356408593675	0,342978446225306	0,360370436639138	0,339124035869301	0,337273630919223	0,335986540753516	0,349794482266354	0,348519619026531	0,34383371079136	0,219313784896612	0,350347749636196	0,342512342289563
Electron transfer carriers	0,0231453732827192	0,0301936878382238	0,0263550790078585	0,0264765686281056	0,0238978689367402	0,0179459114956382	0,0301262762405864	0,0249457471426449	0,0290164690089999	0,0271661602440507	0,0245101230131341	0,0236015476127759	0,0244403443288718	0,0226933690015927	0,0290674414712497	0,0182607949346718	0,0178795968718626	0,0137310815053237	0,0188556562056746	0,0141739128164254
Energy metabolism	0,835146195982538	0,864815499704526	0,883375577616308	0,854540626547887	0,84598725229904	0,905257498422017	0,917599973559105	0,875373241909336	0,890259108418526	0,876946816033761	0,944187434732904	0,900382854854515	0,85268313203419	0,885323038071628	0,963707176377841	0,92804671516779	0,872301843109899	0,602890145345972	0,880808988154155	0,913806510030977
Epithelial cell signaling in Helicobacter pylori infection	0,0976604401628508	0,0988154351534322	0,0997660631385888	0,0967936261736354	0,0950517102959277	0,101047667416192	0,102029088462624	0,0989423531486351	0,0973169936051832	0,0948441112254777	0,109935798577735	0,102231879394006	0,0978116208707948	0,0956668791724364	0,106242597760427	0,106344424951811	0,101928751855816	0,0675758897441141	0,114612660639441	0,11056640542341
Ether lipid metabolism	0,000803077200931045	0,00108392788123673	0,000361285689249483	0,000230796315277467	0,0010068273679196	0,000955959754691628	0,00116284719855587	0,000272508889375136	0,00105216915220856	0,000948584837230114	0,00363626783858384	0,000603858454691657	0,00162372465323232	0,000960406433604316	0,0038748705327207	0,00169235503672811	0,00245887109391542	0,0015116543245679	0,00280018395436073	0,000700634515291509
Ethylbenzene degradation	0,0200755533195031	0,0164052219156581	0,0155089134195344	0,0190202887572507	0,0199466014267968	0,0182644135613528	0,0136954328809917	0,0175967274139762	0,0159313440632265	0,0144241107693776	0,0118815938913798	0,013330141462686	0,0148010569704868	0,0128218591546779	0,00825381627875221	0,00739035616758248	0,0147638642327641	0,00841903788146865	0,010490460200602	0,0117752158955487
Fatty acid biosynthesis	0,475245542230888	0,500231999885537	0,494505699621409	0,494348073676036	0,520417514458366	0,507758267927753	0,493806907764744	0,496621050224982	0,503293109480801	0,494238219364733	0,513336480140807	0,500393460146896	0,489468610540204	0,505302223392404	0,488836661932062	0,489739950472641	0,441179022295305	0,32659828332858	0,481186014915693	0,473547459645883
Fatty acid metabolism	0,205239801559715	0,166626946377416	0,171913997773946	0,160012947948623	0,176548795187581	0,193391984157718	0,184113721984684	0,172412275773952	0,174087622061666	0,170971781262553	0,194491125207591	0,180293973584445	0,162920508136064	0,175203840609003	0,192459004611266	0,189388530108381	0,183948669699875	0,118692494012807	0,170670127771974	0,180539119039925
Flagellar assembly	0,648881273075792	0,968859239739615	0,932079235565557	0,996715286798133	0,815570149659563	0,710171860602557	0,854251434189778	0,903979677265446	0,862200418020223	0,872259721015808	0,717941882728168	0,829243534210474	0,906329973366512	0,915184842181104	0,808140408542083	0,798968117968997	0,837053141232528	0,564547976526832	0,801045371085037	0,734502422039919
Flavone and flavonol biosynthesis	0,00918473658439115	0,00679976120771227	0,00591878258254329	0,00703542076541732	0,00550633887515227	0,00962065337066483	0,00794474711280014	0,00550677243364814	0,0079441005327784	0,00656717738978938	0,00839132527169204	0,00837241831682448	0,00525443425048821	0,00487462830345393	0,0073417802321793	0,00624385665229305	0,00676427881121895	0,00384156793203019	0,00607767199185113	0,0076332407569251
Flavonoid biosynthesis	0,000447428726233011	0,00145055054694916	0,000454903513836027	0,00050107094764187	0,000423927312808251	0,000174445210710151	0,000906520665540865	0,000483975787530241	0,00223839846666764	0,000878319293731587	0	0,00173920281519807	0,000772035118140649	0,000469371565295342	0,000459316305265758	0,00029220518619766	0,000575480468788715	0,00103079416156827	0,000268704520872999	0,000585776398030606
Fluorobenzoate degradation	0,000857571725279937	0	0	0	0	0	0	0	0	0	7,5822798763727E-05	0	0	0	0	0	0	0	0	0
