Group;Control;Control;Control;Control;Control;Chronic+Binge;Chronic+Binge;Chronic+Binge;Chronic+Binge;Chronic+Binge
Eubacterium_siraeum_group;0.029839455324871814;0.0;0.024173968119919773;0.0;0.0;0.009706352131711511;0.03360493708114363;0.025918972930418463;0.026845949844135297;0.012683878715100572
Lachnospiraceae_UCG-006;0.020425317306884086;0.0;0.0;0.04062011777430598;0.0;0.0938690256788303;0.0;0.022164355356385883;0.05513422974922068;0.024204443110177123
Incertae_Sedis;0.0;0.01904165361728782;0.022801646785601183;0.007330849657493091;0.008485014369782403;0.011979358643568003;0.006990984041270912;0.013867861684733243;0.011910854696878054;0.006304413089162414
uncultured;0.0;0.007391168180394613;0.016467856011823077;0.014781877178223773;0.0;0.0;0.0;0.011263852722097742;0.0;0.0
A2;0.0;0.05969307860945819;0.0;0.02746064174978969;0.007663883946900233;0.0;0.005737428282146473;0.01205111124568522;0.0;0.00769288501951366
Clostridium_sensu_stricto_1;0.0;0.015721891637958035;0.0;0.026619396707126552;0.04208293417271111;0.03065487160584838;0.033894219179403114;0.0;0.044991392546410464;0.01065746022215551
Ruminococcus;0.023031016222577118;0.0;0.043808719518631904;0.023374594399711575;0.012864376625153965;0.028996191178277425;0.01880333638686659;0.011687761157875615;0.007769971618666543;0.006266886820774542
uncultured;0.0;0.0;0.0;0.022533349357048437;0.00205282605720542;0.0;0.0;0.01205111124568522;0.011212953054482855;0.0
Clostridia_vadinBB60_group;0.0067243842985626615;0.00970873786407767;0.005278158978148422;0.013459920682610265;0.012864376625153965;0.010750706474996928;0.003085675714767851;0.0062375098407315465;0.0;0.0
UCG-009;0.004707069008993863;0.004885687441277795;0.006544917132904044;0.008472539358250212;0.008621869440262763;0.0;0.0;0.0;0.0;0.0
Gastranaerophilales;0.0047911238127258966;0.0;0.00876174390372638;0.0031847133757961785;0.0071848912002189695;0.0;0.004242804107805795;0.010900502634288139;0.005862373796119667;0.003152206544581207
Ruminococcaceae;0.0;0.007077983088005011;0.0;0.008412450426631416;0.0;0.0;0.0;0.012656694725367894;0.0;0.0
Butyricicoccus;0.0;0.0;0.0;0.0;0.0;0.0017201130359995082;0.002458897835205631;0.0;0.002791606569580794;0.0
UCG-010;0.0;0.011775759473849045;0.0;0.007270760725874295;0.0071848912002189695;0.004853176065855756;0.0026999662504218697;0.0022406588748258953;0.00423393663053087;0.004165415791053738
Mucispirillum;0.0;0.04622611963670529;0.0;0.0;0.0;0.029241921611991642;0.021599730003374958;0.0;0.007304703857069744;0.0
UBA1819;0.0;0.0;0.01562335057531933;0.005948804230260786;0.0;0.004300282589998771;0.006701701943011427;0.0018167504390480232;0.00930535523193598;0.0030771540078054637
Eubacterium_coprostanoligenes_group;0.005883836261242329;0.0023802067021609775;0.017312361448326825;0.002103112606657854;0.006842753524018066;0.009153458655854527;0.003760667277373318;0.008962635499303581;0.003582561764295352;0.004052836985890123
Enterorhabdus;0.00848953517693536;0.004509865330410272;0.007706112108096696;0.007451027520730682;0.005747912960175176;0.003071630421427693;0.0034713851791138323;0.0036335008780960464;0.00497836504908575;0.003302311618132693
Anaeroplasma;0.002437589308228965;0.003570310053241466;0.01689010873007495;0.01766614589592597;0.01430135486519776;0.0017815456444280624;0.0019767610047731546;0.008054260279779568;0.0;0.0028895226658661064
Lachnospiraceae_FCS020_group;0.0;0.010648293141246476;0.0;0.0;0.0;0.026968915100135146;0.0;0.005571368013080604;0.0;0.0
Candidatus_Arthromitus;0.008153315962007227;0.0023175696836830566;0.004011400823392801;0.0;0.002805528944847407;0.0;0.0;0.0010294919154605463;0.0;0.0
Colidextribacter;0.0;0.0006890072032571249;0.0;0.01021511837519529;0.0;0.0;0.006653488259968179;0.0006661418276509418;0.0;0.0
Marvinbryantia;0.0;0.0;0.0;0.006249248888354766;0.0;0.0;0.0;0.0;0.0;0.0
Acetatifactor;0.0;0.0;0.0;0.0;0.01231695634323252;0.0;0.0;0.0;0.0;0.0059666766736715705
uncultured;0.0;0.0;0.0;0.0;0.003626659367729575;0.0;0.0;0.0;0.0;0.0
Intestinimonas;0.0;0.006075790792358283;0.0;0.0;0.005063637607773369;0.006573289101855263;0.0;0.0;0.0;0.0
Lachnospiraceae_NK4B4_group;0.0;0.005198872533667398;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Eubacterium_xylanophilum_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NK4A214_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UC5-1-2E3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tuzzerella;0.0;0.0;0.0;0.0;0.0038319419734501167;0.0;0.004242804107805795;0.006419184884636349;0.0;0.0
Eubacterium_brachy_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Prevotella;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Family_XIII_AD3011_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
UCG-005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Christensenellaceae_R-7_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Streptococcus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Staphylococcus;0.0;0.012214218603194488;0.0;0.010575651964908065;0.0;0.0;0.0;0.0;0.0;0.0
Tepidibacter;0.0;0.001816473535859693;0.0;0.0;0.0;0.0;0.0;0.012414461333494825;0.0;0.0
RF39;0.0;0.0;0.0;0.006129071025117175;0.002189681127685781;0.0;0.0;0.0;0.0;0.003827679375562894
Shuttleworthia;0.0;0.0;0.0;0.0;0.009785137539345835;0.0;0.0;0.0;0.0;0.0
Roseburia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tyzzerella;0.0;0.0;0.0;0.0;0.0;0.0014743826022852928;0.0;0.005086901229334464;0.0;0.0
Blautia;0.0;0.015972439711869714;0.0;0.0;0.021486246065416728;0.0;0.0;0.0;0.0;0.0
Lachnospira;0.0;0.0;0.0;0.0012618675639947123;0.0;0.0;0.0;0.0;0.0;0.0
Erysipelatoclostridium;0.010927124485164325;0.0;0.0073894225694077905;0.0;0.0;0.0;0.006653488259968179;0.02028704656936959;0.010654631740566696;0.0070924647253077155
Anaerotruncus;0.0;0.0;0.011611949751926528;0.0;0.009511427398385112;0.0;0.0;0.0;0.0;0.0
GCA-900066575;0.008237370765739261;0.0;0.02037369365565291;0.0;0.03318735459148762;0.0;0.03466563810809507;0.0;0.04131577722979575;0.024692284599219454
Dorea;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
uncultured;0.0;0.04553711243344817;0.009183996621978255;0.0;0.0;0.006143260842855386;0.0;0.004844667837461395;0.0;0.0
Turicibacter;0.05623266369673026;0.05969307860945819;0.0;0.008051916836918641;0.0;0.053814964983413184;0.01822477219034762;0.017380245866892755;0.0;0.030809066346442513
Monoglobus;0.0;0.0;0.005911538055526233;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Negativibacillus;0.0;0.0;0.0;0.0;0.00417407964965102;0.0;0.0;0.0;0.0;0.0
Eubacterium_nodatum_group;0.00874169958813146;0.0;0.008550617544600443;0.0;0.00821130422882168;0.0;0.0;0.013322836553018837;0.0066533289908342255;0.0
Lachnospiraceae_UCG-004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Akkermansia;0.0;0.0;0.0;0.00030044465809397913;0.0;0.0;0.0;0.0;0.0;0.0
